feature,median,std,mean,min,max
radius1,13.34,3.5993195701051515,14.163419354838709,6.981,27.42
texture1,18.9,4.361160019285865,19.42876832844575,9.71,39.28
perimeter1,86.1,24.85780593040392,92.17258064516129,43.79,186.9
area1,551.1,360.0731504806832,659.691788856305,143.5,2501.0
smoothness1,0.09514,0.014271437643474893,0.09565378299120234,0.06429,0.1634
compactness1,0.09218,0.05327845051465659,0.10310313782991203,0.02344,0.3454
concavity1,0.05835,0.07898058741719295,0.08724424838709677,0.0,0.4268
concave_points1,0.0325,0.03936183182565294,0.04819417008797654,0.0,0.2012
symmetry1,0.1779,0.02746143098644637,0.18058621700879765,0.106,0.304
fractal_dimension1,0.0613,0.006797247427271225,0.06250756598240469,0.05024,0.09744
radius2,0.3249,0.26885974841430904,0.4066463343108504,0.1153,2.547
texture2,1.127,0.5826780331120671,1.2274806451612905,0.3628,4.885
perimeter2,2.281,1.9542322140282786,2.8751237536656893,0.757,18.65
area2,24.72,44.74442266797168,40.598639296187685,6.802,542.2
smoothness2,0.006294,0.002980211151204156,0.006930856304985337,0.001713,0.03113
compactness2,0.02015,0.017737687131698574,0.025271697947214077,0.003012,0.1064
concavity2,0.02509,0.027944676429310453,0.03150543284457478,0.0,0.3038
concave_points2,0.01087,0.00618679113382726,0.011605686217008799,0.0,0.0409
symmetry2,0.01873,0.008479118029773238,0.020438815249266863,0.009539,0.07895
fractal_dimension2,0.003136,0.0023952177257281285,0.0037046803519061584,0.0008948,0.02286
radius3,14.91,4.932767883441264,16.340498533724343,7.93,36.04
texture3,25.41,6.030657051945366,25.878064516129033,12.02,49.54
perimeter3,97.59,34.32445005331951,107.69008797653957,50.41,251.2
area3,680.6,586.7792626213334,889.682404692082,185.2,4254.0
smoothness3,0.1303,0.023662032819081177,0.13183554252199414,0.07117,0.2226
compactness3,0.2119,0.1570104124221554,0.25436322580645154,0.02729,0.9379
concavity3,0.2264,0.21077836466251001,0.27261123167155427,0.0,1.252
concave_points3,0.09749,0.06596528933284992,0.11382296774193548,0.0,0.2903
symmetry3,0.281,0.06368884567417286,0.29034046920821116,0.1566,0.6638
fractal_dimension3,0.07957,0.01709763427981162,0.08356521994134897,0.05521,0.173
